"";"names";"value"
"1";"ßTUR";0,5
"2";"ßTUR";0,6
"3";"ßTUR";0,428571428571429
"4";"ßTUR";0,428571428571429
"5";"ßTUR";0,6
"6";"ßTUR";0
"7";"ßTUR";0,285714285714286
"8";"ßTUR";0,333333333333333
"9";"ßTUR";0,666666666666667
"10";"ßTUR";0,4
"11";"ßTUR";0
"12";"ßTUR";0
"13";"ßTUR";0
"14";"ßTUR";0,333333333333333
"15";"ßTUR";0
"16";"ßTUR";0
"17";"ßTUR";0,166666666666667
"18";"ßTUR";0
"19";"ßTUR";0,333333333333333
"20";"ßTUR";0,4
"21";"ßTUR";0,25
"22";"ßTUR";0
"23";"ßTUR";0,142857142857143
"24";"ßTUR";0,333333333333333
"25";"ßTUR";0,285714285714286
"26";"ßTUR";0,4
"27";"ßTUR";0,166666666666667
"28";"ßTUR";0,25
"29";"ßTUR";0,2
"30";"ßTUR";0,666666666666667
"31";"ßTUR";0,5
"32";"ßTUR";0
"33";"ßTUR";0,4
"34";"ßTUR";0,666666666666667
"35";"ßTUR";0,2
"36";"ßTUR";0,4
"37";"ßTUR";0,142857142857143
"38";"ßTUR";0
"39";"ßTUR";0,166666666666667
"40";"ßTUR";0,333333333333333
"41";"ßTUR";0,333333333333333
"42";"ßTUR";0,333333333333333
"43";"ßTUR";0,333333333333333
"44";"ßTUR";0
"45";"ßTUR";0,333333333333333
"46";"ßTUR";0,333333333333333
"47";"ßTUR";0,428571428571429
"48";"ßTUR";0,428571428571429
"49";"ßTUR";0,428571428571429
"50";"ßTUR";0,166666666666667
"51";"ßTUR";0,3
"52";"ßTUR";0,4
"53";"ßTUR";0,4
"54";"ßTUR";0,428571428571429
"55";"ßTUR";0
"56";"ßTUR";0,142857142857143
"57";"ßTUR";0,166666666666667
"58";"ßTUR";0,333333333333333
"59";"ßTUR";0
"60";"ßTUR";0
"61";"ßTUR";0,3
"62";"ßTUR";0,125
"63";"ßTUR";0,285714285714286
"64";"ßTUR";0,5
"65";"ßTUR";0,25
"66";"ßTUR";0
"67";"ßTUR";0,2
"68";"ßTUR";0,25
"69";"ßTUR";0,666666666666667
"70";"ßTUR";0,25
"71";"ßTUR";0,333333333333333
"72";"ßTUR";0,333333333333333
"73";"ßTUR";0,375
"74";"ßTUR";0,285714285714286
"75";"ßTUR";0,3
"76";"ßTUR";0
"77";"ßTUR";0
"78";"ßTUR";0
"79";"ßTUR";0
"80";"ßTUR";0
"81";"ßTUR";0,428571428571429
"82";"ßTUR";0,111111111111111
"83";"ßTUR";0,5
"84";"ßTUR";0,666666666666667
"85";"ßTUR";0,333333333333333
"86";"ßTUR";0,285714285714286
"87";"ßTUR";0,285714285714286
"88";"ßTUR";0,333333333333333
"89";"ßTUR";0,285714285714286
"90";"ßTUR";0,5
"91";"ßTUR";0,333333333333333
"92";"ßTUR";0,333333333333333
"93";"ßTUR";0,333333333333333
"94";"ßTUR";0,25
"95";"ßTUR";0,142857142857143
"96";"ßTUR";0,142857142857143
"97";"ßTUR";0,5
"98";"ßTUR";0,285714285714286
"99";"ßTUR";0,428571428571429
"100";"ßTUR";0
"101";"ßTUR";0,25
"102";"ßTUR";0,25
"103";"ßTUR";0,5
"104";"ßTUR";0,333333333333333
"105";"ßTUR";0
"106";"ßTUR";0,333333333333333
"107";"ßTUR";0
"108";"ßTUR";0,4
"109";"ßTUR";0,333333333333333
"110";"ßTUR";0
"111";"ßTUR";0,666666666666667
"112";"ßTUR";0,285714285714286
"113";"ßTUR";0
"114";"ßTUR";0
"115";"ßTUR";0,125
"116";"ßTUR";0
"117";"ßTUR";0,6
"118";"ßTUR";0,166666666666667
"119";"ßTUR";0
"120";"ßTUR";0
"121";"ßTUR";0
"122";"ßTUR";0
"123";"ßTUR";0,285714285714286
"124";"ßTUR";0,166666666666667
"125";"ßTUR";0,2
"126";"ßTUR";0,428571428571429
"127";"ßTUR";0
"128";"ßTUR";0,285714285714286
"129";"ßTUR";0
"130";"ßTUR";0,4
"131";"ßTUR";0,333333333333333
"132";"ßTUR";0,4
"133";"ßTUR";0,142857142857143
"134";"ßTUR";0
"135";"ßTUR";0,166666666666667
"136";"ßTUR";0
"137";"ßTUR";0,25
"138";"ßTUR";0,2
"139";"ßTUR";0,333333333333333
"140";"ßTUR";0,166666666666667
"141";"ßTUR";0,2
"142";"ßTUR";0,375
"143";"ßTUR";0,4
"144";"ßTUR";0,285714285714286
"145";"ßTUR";0,333333333333333
"146";"ßTUR";0,5
"147";"ßTUR";0,375
"148";"ßTUR";0,333333333333333
"149";"ßTUR";0
"150";"ßTUR";0
"151";"ßTUR";0,2
"152";"ßTUR";0,5
"153";"ßTUR";0,6
"154";"ßTUR";0
"155";"ßTUR";0,333333333333333
"156";"ßTUR";0,166666666666667
"157";"ßTUR";0
"158";"ßTUR";0,6
"159";"ßTUR";0
"160";"ßTUR";0,25
"161";"ßTUR";0
"162";"ßTUR";0,285714285714286
"163";"ßTUR";0,333333333333333
"164";"ßTUR";0,333333333333333
"165";"ßTUR";0
"166";"ßTUR";0,333333333333333
"167";"ßTUR";0,333333333333333
"168";"ßTUR";0,142857142857143
"169";"ßTUR";0,333333333333333
"170";"ßTUR";0,166666666666667
"171";"ßTUR";0
"172";"ßTUR";0,428571428571429
"173";"ßTUR";0,666666666666667
"174";"ßTUR";0,285714285714286
"175";"ßTUR";0
"176";"ßTUR";0,333333333333333
"177";"ßTUR";0
"178";"ßTUR";0,5
"179";"ßTUR";0,428571428571429
"180";"ßTUR";0,166666666666667
"181";"ßTUR";0,333333333333333
"182";"ßTUR";0,2
"183";"ßTUR";0,375
"184";"ßTUR";0,5
"185";"ßTUR";0,333333333333333
"186";"ßTUR";0,375
"187";"ßTUR";0,333333333333333
"188";"ßTUR";0,333333333333333
"189";"ßTUR";0,25
"190";"ßTUR";0,4
"191";"ßTUR";0,333333333333333
"192";"ßTUR";0,333333333333333
"193";"ßTUR";0,333333333333333
"194";"ßTUR";0,166666666666667
"195";"ßTUR";0
"196";"ßTUR";0
"197";"ßTUR";0,333333333333333
"198";"ßTUR";0
"199";"ßTUR";0,4
"200";"ßTUR";0,5
"201";"ßTUR";0,6
"202";"ßTUR";0
"203";"ßTUR";0,666666666666667
"204";"ßTUR";0,25
"205";"ßTUR";0,166666666666667
"206";"ßTUR";0,4
"207";"ßTUR";0,25
"208";"ßTUR";0,4
"209";"ßTUR";0,2
"210";"ßTUR";0,666666666666667
"211";"ßTUR";0,333333333333333
"212";"ßTUR";0,333333333333333
"213";"ßTUR";0,142857142857143
"214";"ßTUR";0,4
"215";"ßTUR";0,333333333333333
"216";"ßTUR";0,666666666666667
"217";"ßTUR";0,5
"218";"ßTUR";0,25
"219";"ßTUR";0,166666666666667
"220";"ßTUR";0,111111111111111
"221";"ßTUR";0,2
"222";"ßTUR";0,2
"223";"ßTUR";0,666666666666667
"224";"ßTUR";0,333333333333333
"225";"ßTUR";0
"226";"ßTUR";0
"227";"ßTUR";0,166666666666667
"228";"ßTUR";0
"229";"ßTUR";0,25
"230";"ßTUR";0
"231";"ßTUR";0
"232";"ßTUR";0,166666666666667
"233";"ßTUR";0
"234";"ßTUR";0,25
"235";"ßTUR";0,333333333333333
"236";"ßTUR";0
"237";"ßTUR";0,142857142857143
"238";"ßTUR";0,142857142857143
"239";"ßTUR";0
