predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0.04;0.005;0.001;0.2;97.45;1.9;0.0007;0.36;0.04
On;0;0;0;3.52;0;0;0;88.96;7.52
Pv;0;0;0;10.13;0;0;0;3.04;86.83
