predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;93.9;0;1.56;0;0;0;4.54
Sh;0;0;66.67;0;0;0;0;0;33.33
Sn;0;0;0;0;0;0;0;0;100
Sp;0;0;0;0;0;0;0;0;100
