predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;34.36;0.26;0;10.31;0.86;53.6;0.04;0.47;0.1
Co;0;0;0;99.32;0;0;0;0;0.68
Hm;0;0;0;0.03;0.98;0.82;98.1;0;0.07
On;0;0;0;88.64;0;0;0;7.88;3.47
Sn;0;0;0;0.56;0;0;0;0.56;98.87
Sp;0;0;0;0;0;0;0;50;50
