predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;57.14;3.57;39.29;0;0;0;0;0
Hm;0;0;0;0.41;0.86;98.7;0;0.02;0.01
On;0;0.42;4.62;7.98;0;0;0;7.14;79.83
