predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;30.07;11.67;3.78;54.5;0;0;0
On;0;0;0;100;0;0;0;0;0
Sh;0;0;0;99.53;0;0;0;0.47;0
