predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;23.11;1.03;2.62;47.44;0;2.57;0.51;19.21;3.51
Co;0;0;76.42;19.1;0;0;1.64;0.05;2.78
On;0;0;42.34;40.79;0;0;3.23;9.05;4.59
Pc;0;0;24.69;74.07;0;0;0;0;1.23
Pv;0;0;0;12.88;0;0;0;6.13;80.98
Sh;0;0;39.75;3.66;0;12.72;0;30.52;13.35
Sn;0;0;0;0;0;0;0;42.86;57.14
Sp;0;1;56.85;25.1;0;0.73;0.24;10.79;5.29
