predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;1.94;80.19;7.14;5.56;0.42;1.66;0;1.58;1.5
Hm;0;0;0;0;20;80;0;0;0
Pb;0;8.35;0.15;1.14;0;0;0;5.32;85.04
Pf;0;48.33;5.78;9.23;2.3;31.53;0;0.46;2.37
Sh;0;0.04;99.95;0.0007;0.002;0;0;0.002;0.001
Sn;0;0.58;0.01;0.85;0;0;0.01;0.23;98.33
Sp;0;96.54;3.22;0.24;0;0;0;0;0
