predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;17.49;7.01;0.38;19.41;26.41;15.22;0;5.3;8.78
Hm;0;0;0;0;0;0;0;9.09;90.91
Hy;0;0;0;0;0;0;0;0;100
Pc;0;5.12;0.34;83.56;0;0.68;1.36;0.38;8.56
Pv;0;0;0;0.17;0;0;0;0;99.83
Sn;0;0;0;0.25;0;0;0;0.25;99.5
Sp;0;0;10.25;35.83;2.21;11.03;0;12.35;28.34
