predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;28.17;5.92;0;59.15;0;3.38;3.38
Cb;0;16.31;0;82.71;0;0;0;0;0.98
Ch;0;0;0;7.14;0;0;0;85.71;7.14
Co;0;8.12;0;73.05;0;0;0;0;18.83
Hm;0;0;0;0;56.5;28.25;0;14.12;1.13
On;0;0;0;97.43;0;0;0;2.26;0.3
Sh;0;0;98.06;0.97;0;0;0;0;0.97
Sp;0;0;0;99.45;0;0;0;0;0.55
