predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0.02;0;0.49;22.34;76.34;0;0.77;0.04
Ch;0;0;0;0.71;0;0;0;0;99.29
Co;0;0;0;76.92;0;0;0;7.69;15.38
Hm;0;0;0;0.27;0;0;99.73;0;0
Pb;0;0;0;0;0;0;0;0.33;99.67
Pf;0;0;0;0;0;0;0;100;0
Sh;0;0;0;0.35;0;0.35;0;0;99.29
Sn;0;0;0;0.82;0;0;0;0.24;98.94
