predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;32.81;2.29;41.99;1.18;18.16;0.36;1.36;1.84
Ch;0;0;95.24;0;0;0;0;0;4.76
Hm;0;0;0;0;95.06;0;0;0.38;4.56
Pf;0;0;0;0;0;0;0;0;100
Sn;0;0.02;0.19;0.42;0;0;0;0.63;98.75
Sp;0;12.6;47.64;31.5;0;0;0;0;8.27
