predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;1.11;90.32;0;1.67;0;5.78;1.11
Co;0;0.33;0.06;65.24;13.05;11.66;6.66;1.22;1.78
Hm;0;0.05;0;0.92;0.02;1.22;97.7;0.09;0
On;0;1.2;0.73;93;1.81;0;0.24;2.77;0.24
Pc;0.37;1.51;0.62;88.48;0.75;2.65;0.11;2.06;3.45
Sn;0;0;0;0.22;0;0;0.55;0.04;99.19
Sp;0;7.4;10.32;79.97;0.66;0;0;0.33;1.33
