predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;81.47;0;0;0;0;10.92;7.61
Hm;0;0;0;0;0;0;0;75;25
Hy;0;0;0;0;0;0;0;33.33;66.67
Pb;0;0;0;0;0;0;0;83.33;16.67
Pf;0;0;0;0;0;35.71;0;57.14;7.14
Sh;0;0;12.82;0;0;0;0;13.69;73.48
Sn;0;0;0.31;0;0;0;0;0.49;99.2
Tg;0;0.15;0;0;0;99.09;0;0.04;0.72
