predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;4.39;0;0.92;28.11;11.42;52.7;0;1.32;1.14
Pf;0;0;81.97;16.39;0;0;0;0;1.64
Pv;0;0;0;39.22;0;0;0;0;60.78
Sh;0;0;12.99;25.97;0;0;0;55.84;5.19
Sn;0;0;0;45.25;0;0;0;4.98;49.77
