predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;4.38;47.86;0.39;43.76;0;2.14;1.48
Hm;0;0;0;0;3.11;96.88;0;0;0.009
On;0;0;73.79;14.56;0;0;0;0;11.65
Sn;0;0;0;0;0;0;0;0;100
