predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;0;32.51;0;64.89;0;2.6;0
Hm;0;0;0;66.67;0;33.33;0;0;0
On;0;0;99.75;0.25;0;0;0;0;0
Sh;0;0;3.85;15.38;0;0;0;80.76;0
Sn;0;0;0;0;0;0;0;0.04;99.96
Sp;100;0;0;0;0;0;0;0;0
