predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;0;5.84;94.16;0;0;0;0
Ch;0;1.98;15.36;56.17;1.28;0.85;0.21;2.83;21.32
Co;0;0;0;0.02;0;0;99.92;0.005;0.05
Hm;0;0;0;0;0;0;0;100;0
He;0;4.99;8.74;66.17;6.24;0;0;1.25;12.61
On;0;13.49;5.65;66.28;2.75;1.59;0.32;1.59;8.35
Pc;1.03;0.34;0.03;88.22;0;0.86;0;2.24;7.27
Pf;48.78;0;2.44;12.2;0;0;0;24.39;12.2
Pv;0;0;0;98.36;0;0;0;0;1.64
Sh;0;0;0;8.3;0;0;0;51.78;39.92
Sn;0;0;0;0.4;0;0;0;0;99.6
Sp;0;0;0;25;0;0;0;12.5;62.5
