predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;0;0;0;42.92;47.06;0.09;0;0.28;9.65
Cb;0;0;0;96.55;0;0;0;0;3.45
Ch;0;0;63.03;31.51;0.84;0;0;1.26;3.36
Co;0;0;0;0;0;0;0;0;100
Hm;0;0;0;0;0;0;100;0;0
On;0;0;0;94.34;0;0;0;4.72;0.94
Pc;0;0;0;83.33;0;8.33;0;0;8.33
Sh;0;0;65.63;17.71;0;0;0;0.52;16.15
Sn;0;0;0;0.07;0;0;0;0;99.93
