predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;2.92;0.51;0.56;3.39;0.62;77.03;0;13.05;1.94
Cb;0;0;0;50;0;0;0;0;50
Hm;0;0;0;0;90.91;0;0;0;9.09
Pc;0;0.16;11.49;73.89;0;0;0;0.16;14.29
Pv;0;0;0;0.12;0;0;0;0.95;98.92
Sp;0;8.35;21.45;36.58;0.83;4.16;0;4.9;23.73
