predator;Ter;Shr;Fil;Col;Scr;Pre;Fis;Pla;Det
Ab;6.45;61.89;15.43;2.39;0.83;12.77;0.13;0.11;0
Co;0.34;0;5.23;22.54;1.22;63.14;6.79;0;0.75
Hm;0;0.004;0.004;2.36;0;41.64;56;0;0
On;0;26.76;59.61;10.22;1.7;0.24;0;0.24;1.22
